Content,author,published_date
"1 nowy przypadek #WuhanVirus w Japonii. Według prefektury Aichi potwierdzono, że mężczyzna po 60-siątce został zainfekowany nowym koronawirusem. Mężczyzna to mąż kobiety po sześćdziesiątce, która wyjechała na Hawaje, która już została zarażona.https://t.co/PgaJnqluK2",Mag,"Sun, 16 Feb 2020 11:34:08 GMT"
"Południowa Korea zgłasza 1 nowy przypadek #WuhanVirus , w sumie 29 przypadek w tym kraju.To 82-letni mężczyzna z Korei Południowej, który nie miał żadnych danych dotyczących podróży zagranicznych.https://t.co/I1uFjreggahttps://t.co/N1HcpsA5sW",Mag,"Sun, 16 Feb 2020 11:16:17 GMT"
Wszystkie drogi dojazdowe do Wuhan zostały zniszczone i zamknięte.All access roads to Wuhan were destroyed and closed. #China #Chiny #Китай #coronarvirus #koronawirus #ChinaVirus #WuhanVirus pic.twitter.com/hko8dcHQjN,"Piotr, konto nr 4 - SBB (Search, Break, Build).","Mon, 10 Feb 2020 18:25:23 GMT"
"Łapanka policji na kwarantannę? Ludzie bronią się tak, jakby mieli iść na pewną śmierć. (source:@ brother_chui)#WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 pic.twitter.com/T3m1sVNWP9",Marcin Ka,"Sun, 09 Feb 2020 09:59:49 GMT"
2 nowe przypadki #WuhanVirus i 1 nowa śmierć na Tajwanie.2 new #WuhanVirus cases and 1 new death in Taiwan.https://t.co/sYefRPZp7M,Mag,"Sun, 16 Feb 2020 11:40:03 GMT"
"Uciekł ktoś z #Wuhan do innego miasta? No to się go zleje pałami ""za karę"", nawet ryzykując zarażeniem, któryś film tego typu. Pozdrawiam naszych youtuberów, zachwyconych Chinami. source:@  L3610N11#WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2020 pic.twitter.com/2eZFbSlcpB",Marcin Ka,"Sat, 08 Feb 2020 19:22:38 GMT"
Maximum eye power sia!#Singapore #Electionlailiao #GE2020 #Wuhanvirus #Coronavirus pic.twitter.com/kiCkEcDGyX,All Singapore Stuff,"Wed, 12 Feb 2020 07:46:40 GMT"
"Pojawiły się kolejne filmiki z furgonetkami zabierającymi zwłoki z prywatnych mieszkań, W jednej może się zmieścić 10 albo więcej ciał.  source:@ Mina32134295 #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 #COVID19 pic.twitter.com/P4ZZMgBa73",Marcin Ka,"Wed, 12 Feb 2020 15:52:47 GMT"
- Bez maski nie wejdziesz. Musisz kupić!- Nie mam pieniędzy na zakup!- To wracaj tam skąd przyszłaś.#China #Chiny #Китай #coronarvirus #koronawirus #ChinaVirus #WuhanVirus pic.twitter.com/T8QRHchpqt,"Piotr, konto nr 4 - SBB (Search, Break, Build).","Wed, 12 Feb 2020 08:49:21 GMT"
"Kolejny film pani @haniashen o wirusie i broni biologicznej. Pod filmem link do tajnego przemówienia chińskiego generała, dotyczącego planu zagłady cywilizacji zachodniej. Polecam! #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019  https://t.co/AYxenIBoP8",Marcin Ka,"Mon, 10 Feb 2020 14:56:21 GMT"
"Znowu w sieci pojawiają sie filmy z ciałami na ulicach Wuhan. Ale do Polski dalej każdy może wjechać, bez ograniczeń. Ta beztroska na pewno źle się skończy. source:@ CCPTrolling #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 pic.twitter.com/xe0rbfk3sm",Marcin Ka,"Tue, 11 Feb 2020 13:52:55 GMT"
"Wysyłki częściowo jednak zostają wstrzymane mimo zapewnień, że do tego nie dojdzie. Sytuacja nie jest stabilna. #WuhanVirus #koronawirus #Aliexpress pic.twitter.com/nER3B1fury",poland,"Fri, 14 Feb 2020 10:36:37 GMT"
VIDEO: #ChinaIt Feels like a ghost town with only a few survivors walking in the streets in China. All entryways sealed. No one around #COVID19#coronavirus #CoronaOutbreak #WuhanVirus pic.twitter.com/RyB1kfTMZp,Wars on the Brink 🅙,"Sun, 16 Feb 2020 13:47:22 GMT"
The Communist Party government certainly won’t care if people living inside will survive or not. It’s not their business#WuhanCoronavirus #CoronavirusOutbreak #Coronavius #coronaviruschina #WuhanVirus #chinazi pic.twitter.com/CwLGEYTSUu,Himalaya Global,"Wed, 12 Feb 2020 20:06:06 GMT"
